study_code,original_code,rad_assignment,caps_assignment,final_assignment
PSGTD_7936,not_available,GRN,,GRN
PSGTD_7942,not_available,GRN,,GRN
PSGTD_7943,not_available,GRN,,GRN
PSGTD_7947,not_available,GRN,,GRN
PSGTS_7912,not_available,GRN,,GRN
PSGTS_7914,not_available,GRN,,GRN
PSGUB_7770,not_available,GRN,,GRN
PSGUB_7774,not_available,GRN,,GRN
PSGUB_7779,not_available,GRN,,GRN
PSGUB_7784,not_available,GRN,,GRN
PSGUD_7699,not_available,GRN,,GRN
PSGUD_7700,not_available,GRN,,GRN
PSGUD_7701,not_available,GRN,,GRN
PSGUD_7702,not_available,GRN,,GRN
PSGUD_7703,not_available,GRN,,GRN
PSGUD_7705,not_available,GRN,,GRN
PSGUD_7706,not_available,GRN,,GRN
PSGUD_7707,not_available,GRN,,GRN
PSGUD_7708,not_available,GRN,,GRN
PSGUD_7709,not_available,GRN,,GRN
PSGUD_7711,not_available,GRN,,GRN
PSGUD_7716,not_available,GRN,,GRN
PSGUD_7717,not_available,GRN,,GRN
PSGYD_7826,not_available,GRN,,GRN
PSGYD_7827,not_available,GRN,,GRN
PSGYD_7838,not_available,GRN,,GRN
PSGYD_7839,not_available,GRN,,GRN
PSGYS_7879,not_available,GRN,,GRN
PSGYS_7888,not_available,GRN,,GRN
PSHSP_RM41,not_available,GRN,,GRN
